x 	  y_RK45
0.00000   0.50000
0.16489   0.46043
0.33869   0.42211
0.51179   0.38711
1.25939   0.26638
1.56481   0.22865
1.73138   0.21044
1.78524   0.20584
1.83566   0.20850
1.89873   0.25982
1.97100   0.48169
2.02542   0.73067
2.08722   0.92702
2.15518   0.97811
2.24337   0.94777
2.46079   0.85043
3.29181   0.56129
4.00000   0.39391
