x 	  y_RK45
0.00000   0.50000
0.27163   0.43650
0.51521   0.38645
1.45681   0.24134
1.61609   0.22286
1.71381   0.21226
1.79556   0.20542
1.87016   0.22527
1.93274   0.33873
1.99363   0.58493
2.05527   0.84508
2.11944   0.96765
2.21519   0.96043
2.34085   0.90295
3.32000   0.55340
4.00000   0.39389
